Township,Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%),Modelled Snow Water Equiv. (mm),Incoming Solar Rad. Total (MJ/m2),Modelled Incoming Rad. Total (MJ/m2),Wind Speed 10 m Avg. (km/h)
T053R24W4,12/22/2021,-10.44,-4.48,3.57,1964.29,91.13,48.06,1.23,2.11,9.17
T053R24W4,12/23/2021,-18.52,-10.01,0.77,1965.06,85.61,48.98,1.55,2.52,10.95
T053R24W4,12/24/2021,-24.58,-18.36,0,1965.06,69.58,48.98,1.88,2.16,13.8
T053R24W4,12/25/2021,-28.69,-24.54,0.67,1965.73,67.34,49.79,2.21,1.77,9.17
T053R24W4,12/26/2021,-29.75,-27.36,1.74,1967.47,68,51.87,1.97,1.35,5.91
T053R24W4,12/27/2021,-34.6,-27.67,0.19,1967.66,68.74,52.1,3.9,2.31,4.58
T053R24W4,12/28/2021,-36.26,-23.21,0.19,1967.85,69.61,52.33,2.12,3.19,9.27
T053R24W4,12/29/2021,-29.3,-22.28,0,1967.85,69.59,52.32,3.65,2.35,6.68
T053R24W4,12/30/2021,-30.4,-22.7,0.39,1968.24,71.78,52.78,3.27,2.48,5.73
T053R24W4,12/31/2021,-33.18,-23.73,0.19,1968.43,71.91,53.01,3.93,2.77,4.51
T053R24W4,1/1/2022,-30.34,-8.56,0,1968.43,73.38,53.01,2.53,4.24,4.68
T053R24W4,1/2/2022,-22.8,-4.99,0,1968.43,76.73,53,2.08,3.87,10.75
T053R24W4,1/3/2022,-25.37,-22.59,5.21,1973.64,72.31,59.25,1.52,1.54,12.78
T053R24W4,1/4/2022,-29.79,-25.08,1.42,1975.06,70.64,60.96,3.3,2.03,11.88
T053R24W4,1/5/2022,-32.69,-26.57,0.19,1975.25,70.08,61.18,2.28,2.34,5.39
T053R24W4,1/6/2022,-29.38,-24.93,0.19,1975.44,71.53,61.4,3.5,2.02,8.24
T053R24W4,1/7/2022,-29.23,-24.57,2.65,1978.09,71.76,64.59,2.18,2.09,10.08
T053R24W4,1/8/2022,-28.2,-21.53,0.19,1978.28,72.48,64.81,3.77,2.53,7.25
T053R24W4,1/9/2022,-23.83,-15.77,2.37,1980.65,78.74,67.64,1.8,2.82,7.93
T053R24W4,1/10/2022,-18.69,2.21,0,1980.65,82.12,67.63,2.45,4.6,5.77
T053R24W4,1/11/2022,-7.7,6.38,0,1980.65,73.13,67.61,2.7,3.82,5.89
T053R24W4,1/12/2022,-4.68,4.36,0,1980.65,82.84,67.58,2.56,3.11,4.49
T053R24W4,1/13/2022,-4.54,1.92,2.78,1983.43,91.7,70.89,1.4,2.67,6.8
T053R24W4,1/14/2022,-10.4,-1.23,0.19,1983.62,86.11,71.1,2.92,3.23,7.66
T053R24W4,1/15/2022,-5.63,6.24,0,1983.62,70.25,71.07,4.14,3.73,8.66
T053R24W4,1/16/2022,-3.76,1.56,0,1983.62,66.93,71.04,2.72,2.54,7.47
T053R24W4,1/17/2022,-17.58,1.85,6.92,1990.54,87.21,79.32,1.73,4.94,12.66
T053R24W4,1/18/2022,-26.46,-17.57,0.19,1990.73,69.69,79.54,7.27,3.39,12.67
T053R24W4,1/19/2022,-28.08,-16.87,0,1990.73,73.72,79.53,6.89,3.88,7.05
T053R24W4,1/20/2022,-17.75,5.17,0,1990.73,73.06,79.5,1.8,5.65,10.65
T053R24W4,1/21/2022,-7.34,2.76,0.95,1991.68,76.23,80.61,2.11,3.81,10.97
T053R24W4,1/22/2022,-3.08,7.45,0.47,1992.15,67.9,81.04,3.48,3.97,7.87
T053R24W4,1/23/2022,1.44,6.64,0.38,1992.53,65.11,81.37,2.02,2.84,12.99
T053R24W4,1/24/2022,-8.21,2.55,2.28,1994.81,87.04,84.06,1.74,4.16,7.84
T053R24W4,1/25/2022,-7.52,4.92,0,1994.81,70,84.02,3.45,4.56,10.86
T053R24W4,1/26/2022,-1.03,3.84,0,1994.81,70.28,83.97,2.74,2.91,19.01
T053R24W4,1/27/2022,-8.59,1.21,0.19,1995,71.78,84.15,4.25,4.21,5.8
T053R24W4,1/28/2022,-8.27,6.6,0,1995,53.78,84.1,3.49,5.28,6.27
T053R24W4,1/29/2022,-2.97,5.32,0,1995,59.19,84.04,4.25,4.02,4.57
T053R24W4,1/30/2022,-4.73,5.73,0,1995,60.84,83.98,4.85,4.61,6.43
T053R24W4,1/31/2022,-19.7,-0.25,1.23,1996.23,71.96,85.43,4.85,6.41,21.79
T053R24W4,2/1/2022,-21.29,-16.72,0.3,1996.53,70.76,85.76,5.8,3.17,11.85
T053R24W4,2/2/2022,-27.61,-18.04,0,1996.53,68.62,85.74,6.27,4.68,10.04
T053R24W4,2/3/2022,-20.79,-17.61,0.8,1997.33,70.25,86.67,5.37,2.75,10.15
T053R24W4,2/4/2022,-19.77,-7,1.9,1999.23,75.61,88.91,2.12,5.62,10.67
T053R24W4,2/5/2022,-11.48,3.02,1.9,2001.13,78.58,91.13,3.65,6.12,11.02
T053R24W4,2/6/2022,-4.54,9.61,0,2001.13,51.83,91.04,5.98,6.16,11.56
T053R24W4,2/7/2022,-0.76,8.39,0,2001.13,48.27,90.95,5.12,5.06,14.82
T053R24W4,2/8/2022,-0.75,6.72,0,2001.13,56.5,90.86,6.39,4.66,9.87
T053R24W4,2/9/2022,0.1,9.02,0,2001.13,68.65,90.77,4.03,5.2,7.34
T053R24W4,2/10/2022,0.29,9.88,0,2001.13,57.28,90.66,4.23,5.5,22.9
T053R24W4,2/11/2022,-4.78,0.43,0.2,2001.33,53.24,90.82,7.53,4.14,16.45
T053R24W4,2/12/2022,-3.66,6.39,0,2001.33,57.18,90.72,5.82,5.86,8.54
T053R24W4,2/13/2022,-3.83,7.21,0,2001.33,65.89,90.62,8.46,6.27,13.22
T053R24W4,2/14/2022,-7.04,-2.26,0.2,2001.53,83.18,90.78,3.61,4.2,10.75
T053R24W4,2/15/2022,-11.98,-3.64,0.4,2001.93,71.84,91.18,6.05,5.67,11.52
T053R24W4,2/16/2022,-15.85,-11.57,1.4,2003.33,75.57,92.81,6.06,4.14,8.17
T053R24W4,2/17/2022,-13.77,4.87,1.9,2005.23,77.05,94.99,6.31,8.81,18.4
T053R24W4,2/18/2022,-14.59,-4.7,0.3,2005.53,74.1,95.28,5.31,6.54,13.41
T053R24W4,2/19/2022,-15.57,7.62,0,2005.53,70.46,95.18,3.84,10.22,17.39
T053R24W4,2/20/2022,-21.05,-15.48,1.3,2006.83,75.36,96.69,5.97,5.11,10.02
T053R24W4,2/21/2022,-24.29,-18.6,0.2,2007.03,72.64,96.89,10.25,5.26,5.79
T053R24W4,2/22/2022,-24.7,-16.02,0,2007.03,68.3,96.84,10.56,6.62,7.18
T053R24W4,2/23/2022,-22.96,-12,0,2007.03,65.87,96.79,6.88,7.59,7.03
T053R24W4,2/24/2022,-13.97,-6.46,1.8,2008.83,81.33,98.86,6.05,6.4,7.02
T053R24W4,2/25/2022,-17.18,1.58,0,2008.83,67.69,98.76,11.03,10.3,7.88
T053R24W4,2/26/2022,-8.96,5.73,0,2008.83,63.73,98.63,9.82,9.29,5.96
T053R24W4,2/27/2022,-8.35,-2.48,0,2008.83,79.14,98.51,6.23,5.98,9.67
T053R24W4,2/28/2022,-11.11,-3.38,0,2008.83,82,98.41,6.9,6.99,4.33
T053R24W4,3/1/2022,-8.31,-3.29,0,2008.83,85.73,98.29,5.67,5.73,10.61
T053R24W4,3/2/2022,-7.96,-5.3,0.4,2009.23,81.17,98.65,5.38,4.26,14.49
T053R24W4,3/3/2022,-11.05,-7.92,6.06,2015.29,84.28,105.83,6.06,4.7,11.04
T053R24W4,3/4/2022,-16.38,-7.84,4.24,2019.53,87.26,110.82,5.71,7.89,6.66
T053R24W4,3/5/2022,-18.2,-3.09,0,2019.53,84.76,110.72,5.87,10.68,4.21
T053R24W4,3/6/2022,-10.74,0.18,0,2019.53,71.64,110.58,12.96,9.24,8.63
T053R24W4,3/7/2022,-7.29,4.96,0,2019.53,62.48,110.42,10.05,9.96,24.24
T053R24W4,3/8/2022,-15.24,-6.45,0,2019.53,65.61,110.31,10.65,8.58,14.37
T053R24W4,3/9/2022,-18.05,-7.6,0,2019.53,62.09,110.21,13.3,9.51,10.7
T053R24W4,3/10/2022,-18.56,-5.58,0,2019.53,56.15,110.1,13.82,10.78,12.65
T053R24W4,3/11/2022,-20.62,-1.94,0,2019.53,62.8,109.99,8.97,13.15,10.6
T053R24W4,3/12/2022,-5.12,5.45,0,2019.53,57.97,109.79,14.41,10.05,12.94
T053R24W4,3/13/2022,-9.57,-0.4,0,2019.53,79.43,109.63,9.47,9.51,9.4
T053R24W4,3/14/2022,-9.8,2.58,0.51,2020.04,81.56,110.06,11.12,11.23,9.1
T053R24W4,3/15/2022,-6.15,10.29,0,2020.04,71.5,109.84,10.96,13.15,6.71
T053R24W4,3/16/2022,-2.14,7.76,0,2020.04,54.87,109.6,15.1,10.37,10.38
T053R24W4,3/17/2022,-4.91,9.34,0,2020.04,57.96,109.37,14.68,12.63,6.2
T053R24W4,3/18/2022,-0.99,8.46,0,2020.04,57.58,109.12,15.75,10.44,8.53
T053R24W4,3/19/2022,-4.45,7.67,0,2020.04,70.2,108.88,12.92,12,5.14
T053R24W4,3/20/2022,-4.63,4.09,2.12,2022.16,76.26,111.21,7.53,10.34,13.41
T053R24W4,3/21/2022,-7.7,8.56,0,2022.16,61.26,106.59,14.5,14.33,7.2
T053R24W4,3/22/2022,-4.12,10.85,0,2022.16,62.29,94.02,15.6,13.95,7.49
T053R24W4,3/23/2022,1.5,18.3,0.2,2022.36,57.44,75.52,13.11,14.99,9.83
T053R24W4,3/24/2022,-2.52,6.34,0.51,2022.87,63.03,69.93,16.16,11.04,14.47
T053R24W4,3/25/2022,-4.85,1.5,0.2,2023.07,75.33,69.4,14.24,9.47,13.81
T053R24W4,3/26/2022,-6.72,-1.39,3.13,2026.2,78.65,72.94,13.43,8.8,14.49
T053R24W4,3/27/2022,-6.8,2.97,0.2,2026.4,72.77,72.95,14.54,12.08,8.03
T053R24W4,3/28/2022,-4.62,-0.28,6.57,2032.97,91.22,80.59,6.93,8.16,9.58
T053R24W4,3/29/2022,-7.34,7.39,0,2032.97,72.08,80.15,17.63,15.23,8.53
T053R24W4,3/30/2022,-0.19,11.17,0,2032.97,59.83,65.56,15.73,13.55,8.59
T053R24W4,3/31/2022,0.76,7.41,0.61,2033.58,55.52,55.48,15.12,10.51,20.44
T053R24W4,4/1/2022,-0.08,5.66,0,2033.58,68.3,0,16.47,9.88,9.84
T053R24W4,4/2/2022,-1.39,10.04,0,2033.58,60.81,0,14.9,14.12,8.77
T053R24W4,4/3/2022,-3.1,12.34,0,2033.58,54.84,0,18.75,16.61,9.8
T053R24W4,4/4/2022,-0.14,12.23,0,2033.58,58.2,0,12.13,15.05,9.98
T053R24W4,4/5/2022,2.27,8.42,0,2033.58,55.37,0,12.29,10.74,19.88
T053R24W4,4/6/2022,-0.89,9.06,0,2033.58,45.74,0,19.83,13.82,15.68
T053R24W4,4/7/2022,-3.19,15.31,0,2033.58,40.61,0,18.94,19.06,14.42
T053R24W4,4/8/2022,4.72,22.68,0,2033.58,42.68,0,13.17,19,11.78
T053R24W4,4/9/2022,1.12,7.95,0,2033.58,46.48,0,14.69,11.85,30.56
T053R24W4,4/10/2022,-2.89,2.56,0,2033.58,41.81,0,17.5,10.7,25.42
T053R24W4,4/11/2022,-9.4,-1.97,0,2033.58,53.51,0,17.75,12.62,19.84
T053R24W4,4/12/2022,-11.52,-4.45,0.3,2033.88,55.52,0,11.89,12.45,15.01
T053R24W4,4/13/2022,-11.69,-2.51,0,2033.88,52.05,0,19.11,14.33,12.52
T053R24W4,4/14/2022,-10.84,-2.11,0.2,2034.08,58.29,0,15.55,14.13,9.57
T053R24W4,4/15/2022,-5.86,-0.85,0.2,2034.28,68.84,0,12.66,10.8,6.78
T053R24W4,4/16/2022,-5.2,0.81,0.4,2034.68,73.78,0,10.28,11.95,9.59
T053R24W4,4/17/2022,-4.48,4.51,0.4,2035.08,69.24,0,14.66,14.78,4.7
T053R24W4,4/18/2022,-4.68,11.55,0,2035.08,47.38,0,20.29,20.03,14.51
T053R24W4,4/19/2022,-1.32,5.6,7.13,2042.21,86.02,0,4.75,13.21,18.24
T053R24W4,4/20/2022,-3.74,6.17,1.51,2043.72,69.13,0,22.46,15.95,8.39
T053R24W4,4/21/2022,-0.96,6.77,0,2043.72,54.12,0,13.92,14.22,18.24
T053R24W4,4/22/2022,-1.45,11.58,0,2043.72,61.68,0,20.75,18.62,7.54
T053R24W4,4/23/2022,-1.07,15,0,2043.72,61.6,0,20.49,20.87,5.13
T053R24W4,4/24/2022,-0.69,15.77,0,2043.72,52.92,0,20.96,21.3,9.94
T053R24W4,4/25/2022,2.68,17.3,0,2043.72,43.41,0,18.81,20.24,24.31
T053R24W4,4/26/2022,1.95,14.39,1.71,2045.43,55.89,0,15.14,18.83,12.35
T053R24W4,4/27/2022,0.48,8.38,12.55,2057.98,83.62,0,9.59,15.13,12.8
T053R24W4,4/28/2022,0.16,11.78,0.2,2058.18,59.42,0,21.43,18.49,12.73
T053R24W4,4/29/2022,0.71,12.29,0,2058.18,55.83,0,22.79,18.6,10.11
T053R24W4,4/30/2022,-0.4,13.04,0,2058.18,54.35,0,18.61,20.19,10.12
T053R24W4,5/1/2022,5.86,15.24,2.06,2060.24,60.51,0,12.56,17,15.22
T053R24W4,5/2/2022,3.58,14.8,0,2060.24,70.67,0,21.66,18.73,10.71
T053R24W4,5/3/2022,2.24,15.44,0,2060.24,70.26,0,15.22,20.46,6.75
T053R24W4,5/4/2022,7.07,18.85,0,2060.24,53.89,0,16.35,19.46,7.94
T053R24W4,5/5/2022,4.63,23.07,0,2060.24,51.38,0,18.19,24.52,9.34
T053R24W4,5/6/2022,7.43,17.77,1.44,2061.68,62.75,0,10.36,18.48,16.35
T053R24W4,5/7/2022,2.82,13.62,0,2061.68,49.46,0,22.03,19.02,18.03
T053R24W4,5/8/2022,1.87,8.2,0,2061.68,56.41,0,17.23,14.65,17.78
T053R24W4,5/9/2022,-0.24,9.43,0,2061.68,52.42,0,20.22,18.22,15.68
T053R24W4,5/10/2022,-2.01,8.89,0,2061.68,59.53,0,13.59,19.46,11.06
T053R24W4,5/11/2022,4.15,16.37,0,2061.68,47.26,0,17.65,20.73,6.36
T053R24W4,5/12/2022,3.17,19.44,0,2061.68,37.49,0,25.1,24.05,9.14
T053R24W4,5/13/2022,7.6,17.37,0,2061.68,50.28,0,14.18,18.75,13.08
T053R24W4,5/14/2022,5.02,16.8,1.24,2062.92,54.02,0,22.17,20.7,13.88
T053R24W4,5/15/2022,3.1,19.64,0,2062.92,36.51,0,26.24,24.65,7.13
T053R24W4,5/16/2022,11.54,19.95,0,2062.92,39.46,0,18.56,17.68,18.24
T053R24W4,5/17/2022,7.29,15.41,0,2062.92,51.29,0,21.86,17.45,13.71
T053R24W4,5/18/2022,4.24,13.98,0,2062.92,61.81,0,12.65,19.2,11.84
T053R24W4,5/19/2022,4.69,10.5,9.29,2072.21,85.64,0,7.88,14.91,17.05
T053R24W4,5/20/2022,2.37,11.69,0,2072.21,45,0,22.59,18.96,14.67
T053R24W4,5/21/2022,0.02,15.27,0,2072.21,39.22,0,28.81,24.36,5.71
T053R24W4,5/22/2022,3.33,19.49,0,2072.21,35.51,0,25.22,25.18,10.36
T053R24W4,5/23/2022,5.58,22.28,0,2072.21,31.79,0,23.93,25.71,7.45
T053R24W4,5/24/2022,8.77,18.98,0,2072.21,53.68,0,20.56,20.18,8.16
T053R24W4,5/25/2022,7.67,18.78,6.71,2078.92,60.46,0,21.71,21.13,8.65
T053R24W4,5/26/2022,5.98,20.37,0,2078.92,56.64,0,26.02,24.14,6.98
T053R24W4,5/27/2022,10.79,22.36,2.99,2081.91,48.02,0,17.06,21.72,11.11
T053R24W4,5/28/2022,8.46,20.34,0,2081.91,48.07,0,26.19,22.09,11.71
T053R24W4,5/29/2022,6.9,15.58,0,2081.91,63.55,0,18.2,18.94,17.91
T053R24W4,5/30/2022,8.16,17.3,0,2081.91,48.61,0,29.37,19.5,14.84
T053R24W4,5/31/2022,4.1,20.37,0,2081.91,37.19,0,27.96,26.08,8.9
T053R24W4,6/1/2022,6.64,20.85,0,2081.91,39.4,0,26.1,24.45,7.78
T053R24W4,6/2/2022,5.29,22.29,0,2081.91,34.93,0,29.49,26.81,5.81
T053R24W4,6/3/2022,11.45,25.21,0,2081.91,24.48,0,27.87,24.18,13.65
T053R24W4,6/4/2022,15.59,23.24,0,2081.91,31.37,0,13.87,18.09,19.38
T053R24W4,6/5/2022,14.54,20.5,0,2081.91,32.47,0,15.12,15.99,19.7
T053R24W4,6/6/2022,9.77,16.16,6.2,2088.11,75.6,0,5.72,16.59,12.08
T053R24W4,6/7/2022,10.62,18.44,2.5,2090.61,79.57,0,13.76,18.4,4.33
T053R24W4,6/8/2022,10.38,22.47,3.8,2094.41,64.26,0,21.54,22.91,11.31
T053R24W4,6/9/2022,7.85,23.5,0,2094.41,55.79,0,28.23,26.1,7.16
T053R24W4,6/10/2022,12.97,23.27,0,2094.41,47.41,0,27.12,21.21,14.54
T053R24W4,6/11/2022,11.85,23.52,0,2094.41,49.32,0,23.77,22.61,10.24
T053R24W4,6/12/2022,8.5,20.95,2.6,2097.01,64.82,0,18.4,23.39,8.71
T053R24W4,6/13/2022,9.8,23.2,1.2,2098.21,63.57,0,22.62,24.29,10.34
T053R24W4,6/14/2022,11.78,15.42,41.4,2139.61,91.94,0,5.34,12.67,18.95
T053R24W4,6/15/2022,11.8,18.31,10.8,2150.41,79.47,0,13.63,16.96,23.93
T053R24W4,6/16/2022,9.78,20.93,0,2150.41,63.05,0,20.35,22.2,11.46
T053R24W4,6/17/2022,12.44,20.4,6.5,2156.91,79.98,0,9.46,18.78,10.83
T053R24W4,6/18/2022,14.48,21.56,0.2,2157.11,77.81,0,14.55,17.71,8.63
T053R24W4,6/19/2022,12.65,22.51,0,2157.11,65.88,0,20.57,20.9,7.53
T053R24W4,6/20/2022,11.71,20.8,0,2157.11,64.88,0,23.24,20.07,12.37
T053R24W4,6/21/2022,9.47,24.68,0,2157.11,61.84,0,23.95,25.98,6.76
T053R24W4,6/22/2022,11.86,20.52,9.8,2166.91,77.37,0,14.67,19.59,7.36
T053R24W4,6/23/2022,10.13,15.92,22.6,2189.51,83.75,0,10.37,16.01,12.1
T053R24W4,6/24/2022,9.51,16.73,4.8,2194.31,71.82,0,17.91,17.87,18.21
T053R24W4,6/25/2022,9.01,21.81,0,2194.31,56.05,0,28.68,23.8,9.67
T053R24W4,6/26/2022,10.13,26.76,1.3,2195.61,55.13,0,25.7,27.09,9.74
T053R24W4,6/27/2022,11.14,18.84,0,2195.61,70.02,0,22.6,18.41,9.87
T053R24W4,6/28/2022,11.5,21.74,7,2202.61,67.69,0,20.38,21.22,15.25
T053R24W4,6/29/2022,11.49,20.58,3.1,2205.71,73.35,0,18.09,19.96,7.91
T053R24W4,6/30/2022,12.1,23.17,0,2205.71,63.89,0,23.19,22,9.44
T053R24W4,7/1/2022,12.25,20.65,0,2205.71,75.22,0,17.29,19.14,9.69
T053R24W4,7/2/2022,9.61,14.48,12.76,2218.47,89.02,0,7.11,14.55,6.65
T053R24W4,7/3/2022,6.5,21.02,0.2,2218.67,66.4,0,26.69,25.08,4.97
T053R24W4,7/4/2022,10.18,21.94,2.94,2221.61,69.91,0,20.52,22.53,7.93
T053R24W4,7/5/2022,12.55,14.74,22.57,2244.18,90.63,0,4.79,9.69,13.05
T053R24W4,7/6/2022,12.17,19.81,0,2244.18,78.45,0,16.02,18.08,9.37
T053R24W4,7/7/2022,13.4,22.42,6.28,2250.46,80.8,0,11.68,19.61,12.94
T053R24W4,7/8/2022,13.04,24.55,0,2250.46,73.09,0,24.97,22.1,6.86
T053R24W4,7/9/2022,13.65,23.99,1.18,2251.64,65.32,0,26.02,20.89,7.49
T053R24W4,7/10/2022,13.7,24.17,0,2251.64,52.34,0,25.87,20.96,12.22
T053R24W4,7/11/2022,12.69,26.69,0,2251.64,51.97,0,25.76,24.17,8.22
T053R24W4,7/12/2022,15.31,30.98,0,2251.64,51.22,0,28.66,25.49,9.68
T053R24W4,7/13/2022,12.43,23.32,0,2251.64,56.94,0,25.71,21.18,14.31
T053R24W4,7/14/2022,10.97,26.77,0,2251.64,57.18,0,27.18,25.44,7.58
T053R24W4,7/15/2022,15.66,29.53,0,2251.64,60.09,0,26.76,23.74,8.56
T053R24W4,7/16/2022,17.03,27.57,0,2251.64,56.64,0,26.84,20.62,7.66
T053R24W4,7/17/2022,16.29,25.56,0,2251.64,59.65,0,21.38,19.28,8.52
T053R24W4,7/18/2022,15.31,28.2,0,2251.64,62.63,0,24,22.64,7.24
T053R24W4,7/19/2022,15.76,25.27,0,2251.64,50.1,0,22.03,19.37,11.59
T053R24W4,7/20/2022,12.44,24.89,0,2251.64,48.29,0,28.23,22.07,11.56
T053R24W4,7/21/2022,13.88,27.77,0,2251.64,46.39,0,25.34,23.21,9.54
T053R24W4,7/22/2022,14.15,22.34,0,2251.64,54.55,0,26.74,17.75,9.88
T053R24W4,7/23/2022,12.32,25.65,0,2251.64,60.78,0,23.7,22.53,8.93
T053R24W4,7/24/2022,15.3,25.79,0,2251.64,59.31,0,18.84,19.89,10.39
T053R24W4,7/25/2022,14.58,22.3,1.57,2253.21,72.56,0,17.61,16.98,9.75
T053R24W4,7/26/2022,15.29,25.54,0,2253.21,58.12,0,24.29,19.47,6.24
T053R24W4,7/27/2022,16.94,28.55,0,2253.21,56.04,0,21.66,20.61,7.1
T053R24W4,7/28/2022,17.58,31.76,0,2253.21,58.61,0,25.71,22.67,9.16
T053R24W4,7/29/2022,18.35,28.17,0,2253.21,69.15,0,20.93,18.75,10.09
T053R24W4,7/30/2022,17.16,25.68,0,2253.21,65.7,0,21.83,17.38,10.86
T053R24W4,7/31/2022,15.2,20.61,4.51,2257.72,80.4,0,12.92,13.76,9.26
T053R24W4,8/1/2022,14.89,26.38,0.41,2258.13,79.73,0,16.92,19.95,9.04
T053R24W4,8/2/2022,13.11,21.08,0,2258.13,72.78,0,18.61,16.51,14.95
T053R24W4,8/3/2022,12.63,20.08,0.61,2258.74,79.98,0,8.6,15.86,5.93
T053R24W4,8/4/2022,12.81,18.98,12.4,2271.14,79.35,0,11.73,14.34,15.57
T053R24W4,8/5/2022,9.6,18.23,5.23,2276.37,73.8,0,17.18,16.85,16.5
T053R24W4,8/6/2022,8.8,24.15,0,2276.37,61.51,0,20.85,22.33,8.12
T053R24W4,8/7/2022,16.66,28.62,0,2276.37,52.41,0,24.9,19.57,8.25
T053R24W4,8/8/2022,13.6,23.45,0.2,2276.57,56.35,0,23.66,17.64,11.58
T053R24W4,8/9/2022,9.42,24.11,0,2276.57,57.75,0,25.04,21.39,8.56
T053R24W4,8/10/2022,14.38,26.87,0,2276.57,55.85,0,23.9,19.57,9.1
T053R24W4,8/11/2022,14.94,28.71,0,2276.57,66.81,0,14.09,20.41,7.66
T053R24W4,8/12/2022,13.75,28.26,0,2276.57,67.76,0,23.17,20.79,7.06
T053R24W4,8/13/2022,18.03,30.07,0,2276.57,55.67,0,21.3,18.79,11.28
T053R24W4,8/14/2022,14.45,25.93,0,2276.57,52.12,0,23.41,18.21,10.58
T053R24W4,8/15/2022,13.49,28.84,0,2276.57,54.54,0,22.37,20.88,4.56
T053R24W4,8/16/2022,14.65,27.36,0,2276.57,59.93,0,18.4,18.84,8.18
T053R24W4,8/17/2022,13.95,27.53,0,2276.57,56.53,0,23.55,19.32,7.81
T053R24W4,8/18/2022,13.38,29.36,0,2276.57,54.68,0,23.12,20.77,6.92
T053R24W4,8/19/2022,16.59,31.81,0,2276.57,43.35,0,20.91,20.1,11.07
T053R24W4,8/20/2022,18.37,31.2,0,2276.57,56.32,0,16.07,18.29,6.58
T053R24W4,8/21/2022,15.84,24.22,0,2276.57,73.26,0,17.43,14.64,10.63
T053R24W4,8/22/2022,12.74,27.24,0,2276.57,56.42,0,21.47,19.09,6.89
T053R24W4,8/23/2022,13.81,27.71,0,2276.57,53.9,0,20.83,18.52,5.64
T053R24W4,8/24/2022,13.2,28.59,0,2276.57,52.67,0,20.96,19.3,5.79
T053R24W4,8/25/2022,13.73,29.61,0,2276.57,47.13,0,21.33,19.42,9.76
T053R24W4,8/26/2022,14.54,30.15,0,2276.57,53.43,0,20.68,19.05,7.04
T053R24W4,8/27/2022,13.31,21.01,5.02,2281.59,75.68,0,6.68,13.26,16.26
T053R24W4,8/28/2022,11.66,22.07,0,2281.59,52.9,0,20,15.26,15.55
T053R24W4,8/29/2022,9.43,27.06,0,2281.59,55.74,0,17.22,19.65,6.29
T053R24W4,8/30/2022,12.38,31.84,0,2281.59,52.07,0,20.65,20.42,6.21
T053R24W4,8/31/2022,14.73,32.02,0,2281.59,48.59,0,19.96,19.04,5.86
T053R24W4,9/1/2022,13.02,22.97,0,2281.59,48.53,0,19.8,14.3,15.63
T053R24W4,9/2/2022,10.29,31.57,0,2281.59,42.46,0,20.01,20.67,10.06
T053R24W4,9/3/2022,12.72,33.72,0,2281.59,44.21,0,16.21,20.31,6.85
T053R24W4,9/4/2022,13.01,32.06,0,2281.59,51.15,0,15.64,19.12,6.61
T053R24W4,9/5/2022,11.75,21.57,0,2281.59,51.39,0,9.85,13.57,11.57
T053R24W4,9/6/2022,8.8,20.65,0,2281.59,41.9,0,16.93,14.73,9.22
T053R24W4,9/7/2022,9.23,19.52,0.83,2282.42,63.07,0,7.91,13.56,8.18
T053R24W4,9/8/2022,8.34,16.74,0.31,2282.73,62.9,0,13.66,12.11,13.94
T053R24W4,9/9/2022,5.69,17.85,0,2282.73,57.49,0,19.09,14.39,10.46
T053R24W4,9/10/2022,5.92,25.32,0,2282.73,48.18,0,15.79,17.95,8.19
T053R24W4,9/11/2022,7.65,28.39,0,2282.73,51.31,0,16.57,18.33,5.36
T053R24W4,9/12/2022,8.05,20.75,0,2282.73,49.62,0,16.58,14.16,9.43
T053R24W4,9/13/2022,8.63,20.93,0,2282.73,55.8,0,14.33,13.75,5.38
T053R24W4,9/14/2022,7.52,22.36,0,2282.73,63.31,0,16.91,14.91,5.36
T053R24W4,9/15/2022,8.35,21.97,5.26,2287.99,65.86,0,13.48,14.09,11.47
T053R24W4,9/16/2022,8.88,21.32,0,2287.99,74.78,0,14.18,13.29,6.13
T053R24W4,9/17/2022,6.44,15.68,0,2287.99,67.38,0,16.25,11.29,14.16
T053R24W4,9/18/2022,6.03,17.37,0,2287.99,71.02,0,11.44,12.34,7.33
T053R24W4,9/19/2022,7.51,11.71,3.61,2291.6,80.95,0,5.25,7.4,14.78
T053R24W4,9/20/2022,4.48,14.91,0,2291.6,66.09,0,14.98,11.5,10.04
T053R24W4,9/21/2022,3.12,20.42,0.21,2291.81,49.94,0,16.2,14.6,10.89
T053R24W4,9/22/2022,6.74,22.78,0,2291.81,49.42,0,16.07,13.86,9.42
T053R24W4,9/23/2022,7.1,19.92,0,2291.81,64.44,0,9.84,12.21,6.69
T053R24W4,9/24/2022,7.29,18.68,0,2291.81,50.62,0,15.49,11.33,13.2
T053R24W4,9/25/2022,3.76,22.57,0,2291.81,56.76,0,13.86,14.34,6.42
T053R24W4,9/26/2022,14.84,25.06,0,2291.81,53.55,0,12.87,10.41,6.88
T053R24W4,9/27/2022,12.53,25.84,0,2291.81,53.37,0,14.07,11.7,6.92
T053R24W4,9/28/2022,8.26,27.24,0,2291.81,58.21,0,13.61,13.75,4.42
T053R24W4,9/29/2022,9.31,19.54,0,2291.81,68.41,0,5.45,9.93,7.36
T053R24W4,9/30/2022,10.21,18.84,0,2291.81,78.78,0,9.24,8.98,7.18
