Township,Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%),Modelled Snow Water Equiv. (mm),Incoming Solar Rad. Total (MJ/m2),Modelled Incoming Rad. Total (MJ/m2),Wind Speed 10 m Avg. (km/h)
T009R21W4,9/21/2017,2.72,10.08,0,196.51,70.72,0,9.79,10.39,15.87
T009R21W4,9/22/2017,2.23,7.36,0,196.51,80.69,0,6.74,8.56,8.12
T009R21W4,9/23/2017,-0.27,11.6,0,196.51,77.13,0,10.34,12.86,6.86
T009R21W4,9/24/2017,-3.81,16.95,0.25,196.76,64.08,0,18.09,16.78,7.74
T009R21W4,9/25/2017,4.09,20.62,0,196.76,53.4,0,14.19,14.77,8.93
T009R21W4,9/26/2017,5.56,21.75,0,196.76,55.87,0,14.72,14.43,10.15
T009R21W4,9/27/2017,3.9,22.57,0,196.76,55.83,0,16.91,15.29,6.84
T009R21W4,9/28/2017,3.16,25.13,0,196.76,53.33,0,16.82,16.37,10.47
T009R21W4,9/29/2017,3.26,27.53,0,196.76,44.21,0,16.74,16.96,12.12
T009R21W4,9/30/2017,9.99,19.89,0.52,197.28,50.16,0,8.75,10.69,21.86
T009R21W4,10/1/2017,4.7,11.65,19,216.28,72.86,0,7.86,8.83,20.51
T009R21W4,10/2/2017,-1.47,4.84,15.62,231.9,96.17,18.5,2.93,8.29,37.07
T009R21W4,10/3/2017,-9.36,3.39,0.26,232.16,77.36,11.64,17.38,11.63,16.06
T009R21W4,10/4/2017,-8.92,8.56,0.27,232.43,76.14,0,14.91,13.42,9.51
T009R21W4,10/5/2017,-3.4,8.88,0,232.43,79.43,0,15.79,11.08,7.67
